Timestamp,What is your gender,Year of graduation,Title of course studied,Polytechnic/University attended,What is your highest level of education?,What best describes your current status?,How many jobs have you had since graduation including your current one?,Have you completed your NYSC?,"If you answered yes/ongoing to the previous question, what year did you (or will you) complete your NYSC?",Did you get your first full time job through your NYSC placement?,"Thinking about your first employment after graduation, what was your job level?",What is/was your job role?,"What sector/industry is your company in? (E.g. Banking, Agriculture, Telecommunication)","Still thinking about your first employment, what is/was your monthly income level?","Did you need your higher education qualification to get your first job (the actual qualification, not the subject of study)?",What was the most significant reason for deciding to take your first job?,"Thinking about your current employment, what is your job level?",What is your job role?,"What sector/industry is your company in? (E.g. Banking, Agriculture, Telecommunication)",What is your current monthly income level?,"Did you need your higher education qualification to get this job (the actual qualification, not the subject of study)?","Did you need your higher education qualification to get this job (the actual qualification, not the subject of study)?","Did you need your higher education qualification to get this job (the actual qualification, not the subject of study)?","Did you need your higher education qualification to get this job (the actual qualification, not the subject of study)?","Did you need your higher education qualification to get this job (the actual qualification, not the subject of study)?","Did you need your higher education qualification to get this job (the actual qualification, not the subject of study)?","Did you need your higher education qualification to get this job (the actual qualification, not the subject of study)?","As far as you are aware, what was most important to your current employer about your qualification?",How do you find out about your job(s)?,"Thinking about your current employment, did you work for your employer before or during your  higher education study?",Which form of transport do you use the most?,Were you able to rent an apartment or buy a car from the salary you got from your first job?,My course of study prepared me well for employment,My course of study prepared me well for further studies,Which of these skills/knowledge did your higher education prepare you for?
2/8/2018 9:05,Male,2013,Electrical & Electronic Engineering,"Obafemi Awolowo University,Ile-Ife",Bachelor's degree,Working full time (paid employment),3,,,,Experience,,Technology,"‎₦50,000 - ‎₦99,999",No: the qualification was not required,It fitted into my career plan/it was exactly the type of work I wanted,Managerial,,Technology,"‎₦200,000 - ‎₦249,999",,,,,,,,No one thing was important,Internship,No,Bus,Yes: From my first job,No,No,"Critical thinking skills, Ability to solve complex problems, Written communication skills, Spoken communication skills"
2/15/2018 12:11,Male,2014,Psychology,"Obafemi Awolowo University,Ile-Ife",Bachelor's degree,Working full time (paid employment),2,Yes,2017,No,Entry level,,Media,"‎₦20,000 - ‎₦49,999",Yes: the qualification was a formal requirement,To see if I would like the type of work it involved,Experience,Option 1,Media,"‎₦100,000 - ‎₦149,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,IT/SIWES/Internship experience (gained as part of my course),Internship,No,BRT,No: From my current job,Strongly Disagree,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Spoken communication skills"
2/15/2018 13:47,Female,2013,Economics,"Bells University of Technology, Otta",Bachelor's degree,Working full time (paid employment),2,Yes,,No,Entry level,Option 1,Consulting,"‎₦100,000 - ‎₦149,999",Yes: the qualification was a formal requirement,It fitted into my career plan/it was exactly the type of work I wanted,Experience,Option 1,Consulting,"‎₦200,000 - ‎₦249,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,The subject(s) I studied,Employer's website,No,Uber/Taxify/Taxi services,No: From my current job,Disagree,Agree,"Ability to work with others, Written communication skills"
2/16/2018 13:01,Male,2017,Mass Communication (Communication and Language Arts),"Bowen University, Iwo",Master's degree,Self-employed/freelance/entrepreneur,0,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,
2/16/2018 13:18,Female,2013,Statistics,Ekiti State University,Bachelor's degree,Working full time (paid employment),3,Yes,2016,No,Managerial,Operations Manager,Retail / Wholesales,"‎₦50,000 - ‎₦99,999",Yes: while the qualification was not a formal requirement it did give me an advantage,To gain and broaden my experience in order to get the type of job I really want,Entry level,Business Analyst,Advertising / Marketing / Comms,"‎₦100,000 - ‎₦149,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,IT/SIWES/Internship experience (gained as part of my course),"Personal contacts, including family and friends",No,Commercial Vehicles,No,Agree,Agree,Critical thinking skills
2/16/2018 16:44,Male,2015,Electrical & Electronic Engineering,University of Benin,Bachelor's degree,Working full time (paid employment),2,No,2013,No,Entry level,Creatives,Advertising / Marketing / Comms,"‎₦20,000 - ‎₦49,999",No: the qualification was not required,It was in the right location,Experience,Creatives,Creatives/Art/Design,"‎₦200,000 - ‎₦249,999",No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,Capacity,Social media/professional networking sites,No,Car,No: From my current job,Agree,Agree,"Ability to work with others, Knowledge of the skill(s) you are studying"
2/19/2018 7:24,Male,2013,Economics,"Bowen University, Iwo",Higher National Diploma (HND),Working full time (paid employment),4,Yes,2016,No,Entry level,Business Analyst,Technology,"‎₦20,000 - ‎₦49,999",Yes: the qualification was a formal requirement,It fitted into my career plan/it was exactly the type of work I wanted,Managerial,Software Developer,Technology,"‎₦250,000 and more",No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,Don't know,"University/polytechnic (e.g. Careers Service, lecturer, website)",Yes: during my higher education study,Commercial Vehicles,No: From my current job,Strongly Disagree,Strongly Disagree,"Critical thinking skills, Ability to work with others"
2/19/2018 8:40,Male,2015,Accountancy,"Obafemi Awolowo University,Ile-Ife",Bachelor's degree,Working full time (paid employment),1,Yes,2017,No,,,,,,,Entry level,Finance/Accounting,Consulting,"‎₦50,000 - ‎₦99,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,IT/SIWES/Internship experience (gained as part of my course),Internship,No,Commercial Vehicles,No,Agree,Agree,"Ability to solve complex problems, Knowledge of the skill(s) you are studying"
2/19/2018 8:53,Female,2017,Industrial Relations and Personnel Management,Covenant University Ota,Bachelor's degree,Youth Corper (NYSC),2,Ongoing,2018,Yes,Entry level,Customer Service,Advertising / Marketing / Comms,"‎₦20,000 - ‎₦49,999",Yes: the qualification was a formal requirement,To gain and broaden my experience in order to get the type of job I really want,Entry level,Human Resources,Power/Energy,"Under ‎₦20,000",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,The subject(s) I studied,"Personal contacts, including family and friends",No,Keke Marwa/Napep/Tricycle,No,Agree,Agree,Ability to work with others
2/19/2018 8:57,Female,2015,Biochemistry,University of Lagos,Bachelor's degree,Voluntary or other unpaid work or on an internship,0,Yes,2016,No,,,,,,,,,,,,,,,,,,,,,,,,,
2/19/2018 9:19,Male,2015,Economics,University of Ibadan,Bachelor's degree,Due to start a job in the next month/developing a professional portfolio/creative practice,3,Yes,2016,No,Entry level,Content Creator/Content Writer/ Content Developer,Technology,"Under ‎₦20,000",Yes: the qualification was a formal requirement,In order to earn a living/pay off debts,Entry level,Software Developer,Technology,"‎₦50,000 - ‎₦99,999",No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No one thing was important,"Personal contacts, including family and friends",No,Commercial Vehicles,No,Strongly Disagree,Strongly Disagree,"Critical thinking skills, Written communication skills, Knowledge of the skill(s) you are studying"
2/19/2018 10:31,Male,2016,Banking and Finance,Covenant University Ota,Bachelor's degree,Working full time (paid employment),2,Yes,2017,Yes,Entry level,Business Analyst,Consulting,"‎₦50,000 - ‎₦99,999",Yes: while the qualification was not a formal requirement it did give me an advantage,It fitted into my career plan/it was exactly the type of work I wanted,Entry level,Business Analyst,Banking / Financial Services,"‎₦250,000 and more",Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Don't know,"Personal contacts, including family and friends",Yes: before my higher education,Car,No,Agree,Agree,Knowledge of the skill(s) you are studying
2/19/2018 10:39,Male,2017,Petroleum and Gas Engineering,University of Port-Harcourt,Bachelor's degree,Doing something else (e.g. looking after home or family),0,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,
2/19/2018 12:21,Male,2016,Geography,"Obafemi Awolowo University,Ile-Ife",Bachelor's degree,Youth Corper (NYSC),3,Ongoing,2018,No,Clerical and administrative,Business Developer,Ecommerce/Internet,"‎₦20,000 - ‎₦49,999",Don't know,To gain and broaden my experience in order to get the type of job I really want,Clerical and administrative,Business Developer,Ecommerce/Internet,"‎₦20,000 - ‎₦49,999",Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Recruitment agency/Online job site,No,Commercial Vehicles,No,Disagree,Agree,"Critical thinking skills, Ability to solve complex problems, Spoken communication skills, Knowledge of the skill(s) you are studying"
2/19/2018 12:30,Male,2017,Computer Science,University of Lagos,Bachelor's degree,Unemployed,0,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,
